epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1138.18,1.57118,1.20112,1.22512,0.70596,0.44896,0.47522,0.18883,2.04505,1.62857,1.5582,0.000318158,0.000318158,0.000318158
58,1158.02,1.57729,1.21386,1.23202,0.61289,0.44594,0.4928,0.19561,1.97581,1.64926,1.54878,0.00031109,0.00031109,0.00031109
59,1177.77,1.53907,1.19232,1.22193,0.61056,0.45361,0.47634,0.20006,1.99334,1.59283,1.53759,0.000304021,0.000304021,0.000304021
60,1197.55,1.5443,1.21618,1.23445,0.68218,0.42981,0.51165,0.20293,2.0038,1.64971,1.54361,0.000296953,0.000296953,0.000296953
61,1217.43,1.5292,1.18158,1.21753,0.57091,0.50793,0.48971,0.1921,1.97724,1.59763,1.51938,0.000289884,0.000289884,0.000289884
62,1237.23,1.54488,1.18275,1.21799,0.47095,0.51634,0.46473,0.18585,1.95213,1.64082,1.50921,0.000282815,0.000282815,0.000282815
63,1257.04,1.5156,1.15427,1.21187,0.53274,0.45675,0.46581,0.20072,1.92799,1.66483,1.50301,0.000275747,0.000275747,0.000275747
64,1276.75,1.49504,1.14414,1.20535,0.57034,0.50516,0.4937,0.20817,1.97637,1.59537,1.51946,0.000268678,0.000268678,0.000268678
65,1296.5,1.46671,1.12369,1.19485,0.58041,0.4993,0.4915,0.20682,1.94215,1.5777,1.54267,0.00026161,0.00026161,0.00026161
66,1316.31,1.46644,1.10066,1.19204,0.611,0.49408,0.49471,0.21272,1.94102,1.55965,1.51599,0.000254541,0.000254541,0.000254541
67,1336.09,1.50015,1.12707,1.2004,0.6097,0.44076,0.48839,0.19427,1.97257,1.57368,1.48929,0.000247472,0.000247472,0.000247472
68,1355.92,1.44795,1.10623,1.18373,0.50091,0.52787,0.48547,0.20004,1.96543,1.57561,1.51831,0.000240404,0.000240404,0.000240404
69,1375.69,1.46178,1.09785,1.18403,0.52795,0.4865,0.47717,0.19764,2.03701,1.53954,1.5419,0.000233335,0.000233335,0.000233335
70,1395.38,1.44346,1.09778,1.18568,0.56939,0.48165,0.47911,0.19655,1.96019,1.54424,1.53574,0.000226267,0.000226267,0.000226267
71,1415.15,1.46923,1.08963,1.18397,0.62023,0.42262,0.46983,0.20145,1.94697,1.55663,1.51724,0.000219198,0.000219198,0.000219198
72,1434.89,1.46533,1.09021,1.18007,0.55308,0.45094,0.47477,0.20321,2.00003,1.57548,1.53029,0.000212129,0.000212129,0.000212129
73,1454.63,1.43812,1.07713,1.17293,0.65693,0.47472,0.49203,0.20274,2.01817,1.57989,1.53479,0.000205061,0.000205061,0.000205061
74,1474.45,1.42955,1.04324,1.16578,0.65152,0.45565,0.4918,0.19879,1.96415,1.57667,1.52023,0.000197992,0.000197992,0.000197992
75,1494.21,1.42216,1.04104,1.16605,0.60137,0.43947,0.47534,0.1977,1.94466,1.56027,1.52702,0.000190924,0.000190924,0.000190924
76,1514,1.42269,1.08141,1.17028,0.50118,0.50773,0.47507,0.20216,1.92066,1.582,1.51186,0.000183855,0.000183855,0.000183855
77,1533.76,1.40559,1.03835,1.16308,0.54664,0.49994,0.46557,0.19903,1.94662,1.56863,1.52795,0.000176786,0.000176786,0.000176786
78,1553.53,1.38754,1.03227,1.15462,0.56894,0.52018,0.5017,0.20207,1.9547,1.55651,1.53046,0.000169718,0.000169718,0.000169718
79,1573.18,1.41537,1.03689,1.16422,0.70524,0.44692,0.50361,0.20237,1.96914,1.59077,1.52373,0.000162649,0.000162649,0.000162649
80,1592.96,1.3933,1.00941,1.14785,0.57194,0.46563,0.48639,0.2021,1.93373,1.52868,1.52489,0.000155581,0.000155581,0.000155581
81,1612.86,1.38145,0.99501,1.13493,0.59172,0.46062,0.49324,0.20359,1.95237,1.59381,1.53982,0.000148512,0.000148512,0.000148512
